,Username,Date,Likes,Content,retweets,replies,id,url,place,hashtags,media,keyword,Tweet,coords
0,Darling_cherry_,2022-08-20 09:47:10+00:00,2.0,,0.0,0.0,1.5609264066655724e+18,https://twitter.com/Darling_cherry_/status/1560926406665572352,Santhanuthalapadu,"['JanaSenaRythuBharosaYatra', 'JanaVaaniJanaSenaBharosa', 'JanaSenaniBdayFiesta']",,JanaVaaniJanaSenaBharosa,"Everything is on track.. 😎 

For now, Just Focus on 
20th - #JanaSenaRythuBharosaYatra 
21st - #JanaVaaniJanaSenaBharosa 
22nd - JanaSena PAC Meeting at Mangalagiri 

23rd Onwards .. 
#JanaSenaniBdayFiesta 
Jathara shuru💥","15.5400343,79.943918"
1,Darling_cherry_,2022-08-20 09:47:10+00:00,2.0,,0.0,0.0,1.5609264066655724e+18,https://twitter.com/Darling_cherry_/status/1560926406665572352,Ongole,"['JanaSenaRythuBharosaYatra', 'JanaVaaniJanaSenaBharosa', 'JanaSenaniBdayFiesta']",,JanaVaaniJanaSenaBharosa,"Everything is on track.. 😎 

For now, Just Focus on 
20th - #JanaSenaRythuBharosaYatra 
21st - #JanaVaaniJanaSenaBharosa 
22nd - JanaSena PAC Meeting at Mangalagiri 

23rd Onwards .. 
#JanaSenaniBdayFiesta 
Jathara shuru💥","15.5075545,80.06080047"
2,Darling_cherry_,2022-08-20 09:47:10+00:00,2.0,,0.0,0.0,1.5609264066655724e+18,https://twitter.com/Darling_cherry_/status/1560926406665572352,Kondapi,"['JanaSenaRythuBharosaYatra', 'JanaVaaniJanaSenaBharosa', 'JanaSenaniBdayFiesta']",,JanaVaaniJanaSenaBharosa,"Everything is on track.. 😎 

For now, Just Focus on 
20th - #JanaSenaRythuBharosaYatra 
21st - #JanaVaaniJanaSenaBharosa 
22nd - JanaSena PAC Meeting at Mangalagiri 

23rd Onwards .. 
#JanaSenaniBdayFiesta 
Jathara shuru💥","15.4157814,79.83172551"
3,KasapoguPrakash,2022-08-21 06:30:43+00:00,2.0,,3.0,0.0,1.5612393570291098e+18,https://twitter.com/KasapoguPrakash/status/1561239357029109760,Markapuram,['JanaVaaniJanaSenaBharosa'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1561239243925495808/pu/img/VhiHWvMlt0hnC4OT.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1561239243925495808/pu/vid/490x270/0WZ8TDSgmxM0yQTd.mp4?tag=12', bitrate=256000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1561239243925495808/pu/pl/Oznrh1rzrXFb_-I5.m3u8?tag=12&container=fmp4', bitrate=None), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1561239243925495808/pu/vid/640x352/eEoSivRWFlcP0Qzb.mp4?tag=12', bitrate=832000)], duration=30.57, views=47)]",JanaVaaniJanaSenaBharosa,"తిరుపతిలో జరుగుతున్న 4వ విడత జనవాణి ద్వారా తమ సమస్యలను, ఇబ్బందులను జనసేనాని దృష్టికి తీసుకెళ్లేందుకు వచ్చిన ప్రజలు.

#JanaVaaniJanaSenaBharosa https://t.co/gwF4DMWXd3","15.7469839,77.9361285"
4,Kalim_PawanisT,2022-08-20 03:37:11+00:00,10.0,,6.0,0.0,1.560833298158723e+18,https://twitter.com/Kalim_PawanisT/status/1560833298158723072,Markapuram,"['JanaSenaRythuBharosaYatra', 'JanaVaaniJanaSenaBharosa', 'JanaSena']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1560832851687657474/pu/img/L02-G9MfNTSwomTM.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1560832851687657474/pu/vid/640x360/Q1fqqI3rZAiu-FA-.mp4?tag=12', bitrate=832000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1560832851687657474/pu/vid/480x270/RLrFzVo6mG2dQWBw.mp4?tag=12', bitrate=256000), VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1560832851687657474/pu/vid/1280x720/XR0QL3oXS9E_Oe7K.mp4?tag=12', bitrate=2176000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1560832851687657474/pu/pl/Ky5gmmpENmTvsDCq.m3u8?tag=12&container=fmp4', bitrate=None)], duration=32.598, views=86)]",JanaVaaniJanaSenaBharosa,"కడపకు వస్తున్నాం @ysjagan Reddy !
#JanaSenaRythuBharosaYatra 
#JanaVaaniJanaSenaBharosa 

@PawanKalyan #JanaSena https://t.co/FksZQUgx4h","15.7469839,77.9361285"
5,JSPGiddalur,2022-08-21 05:53:58+00:00,1.0,,0.0,0.0,1.561230109402534e+18,https://twitter.com/JSPGiddalur/status/1561230109402533888,Giddalur,['JanaVaaniJanaSenaBharosa'],"[Photo(previewUrl='https://pbs.twimg.com/media/Faqagd8UYAAzwcN?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Faqagd8UYAAzwcN?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Faqagd8VsAIeJwj?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Faqagd8VsAIeJwj?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Faqagd8VEAAFOUq?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Faqagd8VEAAFOUq?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/Faqagd7UIAAWcqP?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Faqagd7UIAAWcqP?format=jpg&name=large')]",JanaVaaniJanaSenaBharosa,"తిరుపతి లో జరుగుతున్న 4 వ విడత  జనవాణి జనసేన భరోసా కార్యక్రమంలో జనసేన అధ్యక్షులు శ్రీ @PawanKalyan గారికి వారి సమస్యలు, అర్జీలను ఇవ్వడానికి వచ్చిన ప్రజలు 

#JanaVaaniJanaSenaBharosa 
@JanaSenaParty  @JSPGiddalur https://t.co/liSiw7MwZ6","15.3784042,78.9265231"
6,BhimavaramSiva,2022-08-21 05:44:35+00:00,0.0,,0.0,0.0,1.561227747678032e+18,https://twitter.com/BhimavaramSiva/status/1561227747678031872,Kovur,['JanaVaaniJanaSenaBharosa'],"[Photo(previewUrl='https://pbs.twimg.com/media/FaqYVNnUYAACj9T?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FaqYVNnUYAACj9T?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FaqYV0HUYAAt_0W?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FaqYV0HUYAAt_0W?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FaqYWugVsAE1rLh?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FaqYWugVsAE1rLh?format=jpg&name=large')]",JanaVaaniJanaSenaBharosa,"తిరుపతి లో జరుగుతున్న 4 వ విడత  జనవాణి జనసేన భరోసా కార్యక్రమంలో జనసేన అధ్యక్షులు శ్రీ @PawanKalyan గారికి వారి సమస్యలు, అర్జీలను ఇవ్వడానికి వచ్చిన ప్రజలు 

#JanaVaaniJanaSenaBharosa https://t.co/l9bDL0XDCP","14.5196139,79.98609721"
7,BhimavaramSiva,2022-08-20 07:20:51+00:00,0.0,,0.0,0.0,1.5608895824003523e+18,https://twitter.com/BhimavaramSiva/status/1560889582400352256,Kovur,['JanaVaaniJanaSenaBharosa'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1560889470353752064/pu/img/gL0eIJjQqv5j3QO5.jpg', variants=[VideoVariant(contentType='video/mp4', url='https://video.twimg.com/ext_tw_video/1560889470353752064/pu/vid/480x270/ahVrjEphydkb2PlY.mp4?tag=12', bitrate=256000), VideoVariant(contentType='application/x-mpegURL', url='https://video.twimg.com/ext_tw_video/1560889470353752064/pu/pl/SdXj4CK_MLGKziuj.m3u8?tag=12&container=fmp4', bitrate=None)], duration=44.998, views=6)]",JanaVaaniJanaSenaBharosa,"(ఆగస్టు 21వ తేదీ), ఆదివారం, ఉదయం 10 నుండి మధ్యాహ్నం 3 వరకు సామాన్యుడి గళం వినిపించేలా ""జనవాణి - జనసేన భరోసా"" కార్యక్రమం వేదిక  : GRR కన్వెన్షన్ హాల్,
తిరుపతి - బెంగళూరు హైవే, Opp. బాలాజీ డైరీ

#JanaVaaniJanaSenaBharosa
@PawanKalyan @JanaSenaParty https://t.co/0txLorWa1h","14.5196139,79.98609721"
8,DadiKumar,2022-08-20 03:20:51+00:00,70.0,,17.0,0.0,1.560829187887231e+18,https://twitter.com/DadiKumar/status/1560829187887230977,Kovur,['JanaVaaniJanaSenaBharosa'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fakt1pIVUAEQpik?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fakt1pIVUAEQpik?format=jpg&name=large')]",JanaVaaniJanaSenaBharosa,"జనవాణి జనసేన భరోసా 4వ విడత.

స్థలం : GRR కన్వెన్షన్ హాల్, తిరుపతి.

@JanaSenaParty chief Sri 
@PawanKalyan garu 
@mnadendla garu

#JanaVaaniJanaSenaBharosa https://t.co/odUY7FPMap","14.5196139,79.98609721"
9,BhimavaramSiva,2022-08-21 05:44:35+00:00,0.0,,0.0,0.0,1.561227747678032e+18,https://twitter.com/BhimavaramSiva/status/1561227747678031872,Nellore City,['JanaVaaniJanaSenaBharosa'],"[Photo(previewUrl='https://pbs.twimg.com/media/FaqYVNnUYAACj9T?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FaqYVNnUYAACj9T?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FaqYV0HUYAAt_0W?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FaqYV0HUYAAt_0W?format=jpg&name=large'), Photo(previewUrl='https://pbs.twimg.com/media/FaqYWugVsAE1rLh?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FaqYWugVsAE1rLh?format=jpg&name=large')]",JanaVaaniJanaSenaBharosa,"తిరుపతి లో జరుగుతున్న 4 వ విడత  జనవాణి జనసేన భరోసా కార్యక్రమంలో జనసేన అధ్యక్షులు శ్రీ @PawanKalyan గారికి వారి సమస్యలు, అర్జీలను ఇవ్వడానికి వచ్చిన ప్రజలు 

#JanaVaaniJanaSenaBharosa https://t.co/l9bDL0XDCP","14.4493717,79.9873763"
